Change dir from /home/yejinmian/GGAP-0512/GGAP/exp/0512 to /home/yejinmian/GGAP-0512/GGAP
Parsing config file...
** Assert in demo mode. **
{'train_loss': 1.5094223037228123, 'epoch_time': 1307.3091342449188, 'test_loss': 1.2817737867637558, 'acc@1': 68.48882410477619, 'acc@5': 89.04294975436464, 'LR': 0.01}
{'train_loss': 1.509631716835868, 'epoch_time': 1312.743367433548, 'test_loss': 1.2850676358354336, 'acc@1': 68.61001656979931, 'acc@5': 88.92773624342315, 'LR': 0.01}
{'train_loss': 1.5081655662614744, 'epoch_time': 1318.85249710083, 'test_loss': 1.2583101309683857, 'acc@1': 69.08254374289999, 'acc@5': 89.13301366689254, 'LR': 0.01}
{'train_loss': 1.2879571221806072, 'epoch_time': 1372.5915207862854, 'test_loss': 1.0762383080258662, 'acc@1': 73.21447551493742, 'acc@5': 91.3263408115932, 'LR': 0.001}
{'train_loss': 1.2319259240553453, 'epoch_time': 1311.308806180954, 'test_loss': 1.0570244703974043, 'acc@1': 73.66470025510205, 'acc@5': 91.54196275983539, 'LR': 0.001}
{'train_loss': 1.2079020876627227, 'epoch_time': 1237.2773234844208, 'test_loss': 1.0469678159879179, 'acc@1': 73.88070180464764, 'acc@5': 91.68830474542112, 'LR': 0.001}
{'train_loss': 1.1933833842153674, 'epoch_time': 1251.5569911003113, 'test_loss': 1.0421067302932545, 'acc@1': 74.02448140358439, 'acc@5': 91.83673469387755, 'LR': 0.001}
{'train_loss': 1.1788349473512136, 'epoch_time': 1347.8104319572449, 'test_loss': 1.0385228331599916, 'acc@1': 74.1969220686932, 'acc@5': 91.84992638412787, 'LR': 0.001}
{'train_loss': 1.1695757839110468, 'epoch_time': 1232.3048040866852, 'test_loss': 1.031905277347078, 'acc@1': 74.22074298469387, 'acc@5': 91.83882257889728, 'LR': 0.001}
{'train_loss': 1.1631300901914094, 'epoch_time': 1298.9432575702667, 'test_loss': 1.0275017783349873, 'acc@1': 74.38027666052993, 'acc@5': 91.99949513649455, 'LR': 0.001}
{'train_loss': 1.1567985784400117, 'epoch_time': 1301.381172657013, 'test_loss': 1.0279992657656571, 'acc@1': 74.36205509730748, 'acc@5': 91.997312273298, 'LR': 0.001}
{'train_loss': 1.1496883669218698, 'epoch_time': 1266.342004776001, 'test_loss': 1.0269523451522904, 'acc@1': 74.3241883881238, 'acc@5': 92.04011403297892, 'LR': 0.001}
